Content-Length: 2665

{"id": 1, "jsonrpc": "2.0", "method": "initialize", "params": {"initializationOptions": [], "rootUri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase", "workspaceFolders": [{"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase", "name": "/home/isopod/dev/neovim/nvim-lsp-testcase"}], "rootPath": "/home/isopod/dev/neovim/nvim-lsp-testcase", "clientInfo": {"version": "0.5.0", "name": "Neovim"}, "processId": 1997074, "trace": "off", "capabilities": {"callHierarchy": {"dynamicRegistration": false}, "window": {"showDocument": {"support": false}, "showMessage": {"messageActionItem": {"additionalPropertiesSupport": false}}, "workDoneProgress": true}, "workspace": {"workspaceFolders": true, "configuration": true, "symbol": {"symbolKind": {"valueSet": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]}, "dynamicRegistration": false, "hierarchicalWorkspaceSymbolSupport": true}, "applyEdit": true}, "textDocument": {"documentSymbol": {"symbolKind": {"valueSet": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]}, "dynamicRegistration": false, "hierarchicalDocumentSymbolSupport": true}, "publishDiagnostics": {"relatedInformation": true, "tagSupport": {"valueSet": [1, 2]}}, "completion": {"completionItem": {"snippetSupport": false, "commitCharactersSupport": false, "preselectSupport": false, "deprecatedSupport": false, "documentationFormat": ["markdown", "plaintext"]}, "contextSupport": false, "dynamicRegistration": false, "completionItemKind": {"valueSet": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]}}, "definition": {"linkSupport": true}, "references": {"dynamicRegistration": false}, "synchronization": {"didSave": true, "willSaveWaitUntil": false, "willSave": false, "dynamicRegistration": false}, "codeAction": {"codeActionLiteralSupport": {"codeActionKind": {"valueSet": ["", "Empty", "QuickFix", "Refactor", "RefactorExtract", "RefactorInline", "RefactorRewrite", "Source", "SourceOrganizeImports", "quickfix", "refactor", "refactor.extract", "refactor.inline", "refactor.rewrite", "source", "source.organizeImports"]}}, "dynamicRegistration": false}, "rename": {"prepareSupport": true, "dynamicRegistration": false}, "signatureHelp": {"signatureInformation": {"documentationFormat": ["markdown", "plaintext"]}, "dynamicRegistration": false}, "documentHighlight": {"dynamicRegistration": false}, "hover": {"dynamicRegistration": false, "contentFormat": ["markdown", "plaintext"]}, "declaration": {"linkSupport": true}, "implementation": {"linkSupport": true}, "typeDefinition": {"linkSupport": true}}}}}Content-Length: 57

{"method": "initialized", "jsonrpc": "2.0", "params": {}}Content-Length: 254

{"method": "textDocument/didOpen", "jsonrpc": "2.0", "params": {"textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 0, "languageId": "pascal", "text": "program Test;\n\nbegin\nBanana\nBanana\nBanana\nend.\n"}}}Content-Length: 256

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\n\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 4}}}Content-Length: 257

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nF\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 5}}}Content-Length: 258

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFo\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 6}}}Content-Length: 259

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoo\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 7}}}Content-Length: 260

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoob\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 8}}}Content-Length: 261

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFooba\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 9}}}Content-Length: 263

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoobar\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 10}}}Content-Length: 271

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoobar\nFoobar\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 11}}}Content-Length: 279

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoobar\nFoobar\nFoobar\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 12}}}Content-Length: 287

{"method": "textDocument/didChange", "jsonrpc": "2.0", "params": {"contentChanges": [{"text": "program Test;\n\nbegin\nBanana\nFoobar\nFoobar\nFoobar\nFoobar\nBanana\nBanana\nend.\n"}], "textDocument": {"uri": "file:///home/isopod/dev/neovim/nvim-lsp-testcase/test.pas", "version": 13}}}Content-Length: 49

